 Port Louis
Order Reference;Order Period;Supplier Name;Order Total Amount;Order Status;Invoice Reference;Invoice Total Amount;Action
12;2023-08;Pegasus Ltd;           0.00;Received;INV_PO012.1;       3,450.00;No Action
1;2023-01;Pegasus Ltd;           0.00;Received;INV_PO001.1;       1,100.00;No Action
1;2023-01;Pegasus Ltd;           0.00;Received;INV_PO001.1;       3,000.00;No Action
1;2023-01;Pegasus Ltd;           0.00;Received;INV_PO001;         800.00;No Action
1;2023-01;Pegasus Ltd;           0.00;Received;INV_PO001;       2,000.00;No Action
1;2023-01;Pegasus Ltd;           0.00;Received;INV_PO001;         600.00;No Action
1;2023-01;Pegasus Ltd;           0.00;Received;INV_PO001;       2,500.00;No Action
1;2023-01;Pegasus Ltd;      10,000.00;Closed;N/A;           0.00;No Action
 Vacaoas
Order Reference;Order Period;Supplier Name;Order Total Amount;Order Status;Invoice Reference;Invoice Total Amount;Action
6;2023-02;Stuffie Stationery;     250,000.00;Open;N/A;           0.00;No Action
6;2023-02;Stuffie Stationery;           0.00;Received;INV_PO006.2;       4,300.00;No Action
6;2023-02;Stuffie Stationery;           0.00;Received;INV_PO006.1;      24,300.00;No Action
6;2023-02;Stuffie Stationery;           0.00;Received;INV_PO006.3;      25,400.00;No Action
6;2023-02;Stuffie Stationery;           0.00;Received;INV_PO006.5;      70,800.00;No Action
6;2023-02;Stuffie Stationery;           0.00;Received;INV_PO006.4;      50,200.00;No Action
6;2023-02;Stuffie Stationery;           0.00;Received;INV_PO006.6;      60,000.00;No Action
 Camp Hill
Order Reference;Order Period;Supplier Name;Order Total Amount;Order Status;Invoice Reference;Invoice Total Amount;Action
11;2023-07;Lamboni Stat Inc.;           0.00;Received;INV_PO011.1;       3,200.00;No Action
11;2023-07;Lamboni Stat Inc.;      43,200.00;Closed;N/A;           0.00;No Action
11;2023-07;Lamboni Stat Inc.;           0.00;Received;INV_PO011.1;      40,000.00;No Action
4;2023-02;Lamboni Stat Inc.;         600.00;Cancelled;N/A;           0.00;No Action
4;2023-02;Lamboni Stat Inc.;       2,000.00;Received;INV_PO004;       1,200.00;No Action
4;2023-02;Lamboni Stat Inc.;       2,000.00;Received;INV_PO004;       2,000.00;No Action
4;2023-02;Lamboni Stat Inc.;       6,800.00;Closed;N/A;           0.00;No Action
4;2023-02;Lamboni Stat Inc.;       3,000.00;Received;INV_PO004.1;       3,000.00;No Action
 Pamplemousses
Order Reference;Order Period;Supplier Name;Order Total Amount;Order Status;Invoice Reference;Invoice Total Amount;Action
5;2023-04;Emtello Ltd;      21,000.00;Closed;N/A;           0.00;No Action
5;2023-04;Emtello Ltd;           0.00;Received;INV_PO005.1;       3,000.00;To follow up
5;2023-04;Emtello Ltd;           0.00;Received;INV_PO005.2;       5,000.00;No Action
5;2023-04;Emtello Ltd;           0.00;Received;INV_PO005.2;       8,000.00;No Action
5;2023-04;Emtello Ltd;           0.00;Received;INV_PO005.1;       5,000.00;No Action
 Vacoas
Order Reference;Order Period;Supplier Name;Order Total Amount;Order Status;Invoice Reference;Invoice Total Amount;Action
14;2023-09;Digisay Co. Ltd.;           0.00;Received;INV_PO014.2;      10,000.00;No Action
14;2023-09;Digisay Co. Ltd.;           0.00;Received;INV_PO014.3;      12,125.00;No Action
14;2023-09;Digisay Co. Ltd.;           0.00;Received;INV_PO014.1;      72,500.00;To follow up
14;2023-09;Digisay Co. Ltd.;           0.00;Received;INV_PO014.4;      13,850.00;To follow up
14;2023-09;Digisay Co. Ltd.;           0.00;Cancelled;N/A;           0.00;No Action
14;2023-09;Digisay Co. Ltd.;     400,120.00;Open;N/A;           0.00;No Action
14;2023-09;Digisay Co. Ltd.;           0.00;Cancelled;N/A;           0.00;No Action
14;2023-09;Digisay Co. Ltd.;           0.00;Received;INV_PO014.1;       5,600.00;No Action
14;2023-09;Digisay Co. Ltd.;           0.00;Received;INV_PO014.3;      54,850.00;No Action
14;2023-09;Digisay Co. Ltd.;           0.00;Received;INV_PO014.1;      17,300.00;No Action
14;2023-09;Digisay Co. Ltd.;           0.00;Received;INV_PO014.1;      13,500.00;No Action
14;2023-09;Digisay Co. Ltd.;           0.00;Received;INV_PO014.2;      13,250.00;No Action
14;2023-09;Digisay Co. Ltd.;           0.00;Received;INV_PO014.3;       5,300.00;No Action
14;2023-09;Digisay Co. Ltd.;           0.00;Received;INV_PO014.4;      11,900.00;No Action
14;2023-09;Digisay Co. Ltd.;           0.00;Received;INV_PO014.4;      17,600.00;No Action
14;2023-09;Digisay Co. Ltd.;           0.00;Received;INV_PO014.3;         900.00;To follow up
14;2023-09;Digisay Co. Ltd.;           0.00;Received;INV_PO014.1;       4,275.00;No Action
14;2023-09;Digisay Co. Ltd.;           0.00;Received;INV_PO014.3;      15,900.00;No Action
14;2023-09;Digisay Co. Ltd.;           0.00;Received;INV_PO014.2;       3,550.00;To follow up
14;2023-09;Digisay Co. Ltd.;           0.00;Received;INV_PO014.1;      15,200.00;No Action
14;2023-09;Digisay Co. Ltd.;           0.00;Received;INV_PO014.1;       7,920.00;No Action
3;2023-01;Digisay Co. Ltd.;           0.00;Received;INV_PO003.2;      10,000.00;No Action
3;2023-01;Digisay Co. Ltd.;           0.00;Received;INV_PO003.1;       5,000.00;No Action
